,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alpha,beta,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
2_23,SG_20170117.csv.gz,23,5.75,6.0,586,True,1537.6557824151705,0.26502733878151835,1520.8880342086536,2763.1056083717212,False,False,False,0,False,False,False,0,True,True,True,3
2_24,SG_20170117.csv.gz,24,6.0,6.25,354,True,725.6301551250582,0.21645744442078838,6844.27095509552,22377.660540399193,False,True,True,2,False,True,False,1,True,True,True,3
2_25,SG_20170117.csv.gz,25,6.25,6.5,331,True,715.9284178120308,0.19695087097469643,10182.64532338966,21907.872743990425,True,True,True,3,False,False,False,0,True,True,True,3
2_26,SG_20170117.csv.gz,26,6.5,6.75,492,True,1111.0627244354387,0.29642255907880877,7957.341651861554,18478.631650176565,True,True,True,3,False,True,False,1,True,True,True,3
2_27,SG_20170117.csv.gz,27,6.75,7.0,453,True,1129.0796841494866,0.2529635870693351,6152.815424323669,16280.590773666898,False,False,False,0,False,True,False,1,True,True,True,3
2_28,SG_20170117.csv.gz,28,7.0,7.25,384,True,958.0338246741424,0.19139154209833292,2390.4813251344235,5796.772072502995,False,True,False,1,False,True,False,1,True,True,True,3
2_29,SG_20170117.csv.gz,29,7.25,7.5,293,True,515.5205625269625,0.1759350195587891,2962.8127746042787,11326.019848484018,False,False,False,0,True,True,True,3,True,True,True,3
2_30,SG_20170117.csv.gz,30,7.5,7.75,297,True,653.3221014998425,0.1414471342490742,1290.7217267358722,2942.191063025329,False,True,False,1,False,True,False,1,True,True,True,3
2_31,SG_20170117.csv.gz,31,7.75,8.0,372,True,923.8483579485419,0.21489200746323295,10063.63850718561,27628.054478041944,True,True,True,3,True,True,False,2,True,True,True,3
2_32,SG_20170117.csv.gz,32,8.0,8.25,339,True,736.976546919272,0.18026263079062085,3358.22860420154,6447.468997918862,False,False,False,0,False,False,False,0,True,True,True,3
2_33,SG_20170117.csv.gz,33,8.25,8.48099367638889,430,True,1354.0784724806294,0.2737908311004911,41044.02831677526,96245.0989759907,True,True,True,3,False,True,False,1,True,True,True,3
